Section             Count      Time MS    Min MS     Max MS     Average MS
structure_starts    1115       5629       0          1633       5.05
structure_refs      239        39         0          0          0.16
biomes              239        2642       0          282        11.05
terrain             239        804        1          88         3.36
surface             239        362        0          28         1.51
carving             478        256        0          14         0.54
decoration          137        2033       2          126        14.84
mob_spawns          57         6          0          1          0.11
Sum                                                             36.62
