Section             Count      Time MS    Min MS     Max MS     Average MS
structure_starts    2213       15061      0          5194       6.81
structure_refs      567        69         0          3          0.12
biomes              567        1160       0          375        2.05
terrain             567        1797       1          52         3.17
surface             567        1296       0          493        2.29
carving             1134       3987       0          3032       3.52
decoration          434        9340       2          491        21.52
mob_spawns          327        23         0          4          0.07
Sum                                                             39.54
