Section             Count      Time MS    Min MS     Max MS     Average MS
structure_starts    8208       13667      0          2854       1.67
structure_refs      4685       535        0          108        0.11
biomes              4684       5060       0          346        1.08
terrain             4684       9954       1          117        2.13
surface             4684       3203       0          54         0.68
carving             9364       3469       0          79         0.37
decoration          4273       45423      1          309        10.63
mob_spawns          3869       195        0          28         0.05
Sum                                                             16.72
