Section             Count      Time MS    Min MS     Max MS     Average MS
structure_starts    1033       4314       0          2134       4.18
structure_refs      192        17         0          0          0.09
biomes              192        1520       0          285        7.92
terrain             192        370        1          5          1.93
surface             192        122        0          6          0.64
carving             384        115        0          14         0.30
decoration          89         1174       2          36         13.19
mob_spawns          7          0          0          0          0.00
Sum                                                             28.23
