Section             Count      Time MS    Min MS     Max MS     Average MS
structure_starts    962        9362       0          4219       9.73
structure_refs      129        43         0          22         0.33
biomes              129        642        0          402        4.98
terrain             129        1082       1          46         8.39
surface             129        605        1          209        4.69
carving             258        265        0          26         1.03
decoration          60         2667       4          661        44.45
mob_spawns          0          0          0          0          0.00
Sum                                                             73.60
