Section             Count      Time MS    Min MS     Max MS     Average MS
structure_starts    28         1383       0          1379       49.39
structure_refs      55         11         0          0          0.20
biomes              55         1778       0          469        32.33
terrain             55         276        2          21         5.02
surface             55         73         0          9          1.33
carving             110        98         0          6          0.89
decoration          40         562        2          263        14.05
mob_spawns          22         4          0          4          0.18
Sum                                                             103.39
