Section             Count      Time MS    Min MS     Max MS     Average MS
structure_starts    825        3961       0          1922       4.80
structure_refs      66         11         0          0          0.17
biomes              66         10         0          1          0.15
terrain             66         473        1          109        7.17
surface             66         129        0          30         1.95
carving             132        158        0          25         1.20
decoration          28         666        3          62         23.79
mob_spawns          0          0          0          0          0.00
Sum                                                             39.22
