Section             Count      Time MS    Min MS     Max MS     Average MS
structure_starts    1538       8821       0          4317       5.74
structure_refs      178        60         0          17         0.34
biomes              178        2135       0          885        11.99
terrain             178        1202       1          33         6.75
surface             178        413        0          29         2.32
carving             356        346        0          32         0.97
decoration          82         1709       2          109        20.84
mob_spawns          0          0          0          0          0.00
Sum                                                             48.95
