Section             Count      Time MS    Min MS     Max MS     Average MS
structure_starts    880        5615       0          2240       6.38
structure_refs      73         13         0          0          0.18
biomes              73         29         0          17         0.40
terrain             73         656        1          113        8.99
surface             73         200        1          17         2.74
carving             146        156        0          18         1.07
decoration          30         688        4          75         22.93
mob_spawns          0          0          0          0          0.00
Sum                                                             42.68
